SKU,ITEMID,DESCRIPTION,VENDOR,CAT,QUANTITY,PRICE,WEIGHT,SIZE,UNIT,SUB-CATEGORY,STATUS,UPC
134913,USB31000SW,StarTech USB31000SW USB3.0 to Gigabit Ethernet NIC Network Adapter White RTL,StarTech.com,AC, 0,31.07,0.31,EA,LB,AC,ACTIVE,065030849906
134914,C6PATCH100OR,Startech Cable C6PATCH100OR 100ft Cat6 Molded RJ45 UTP Gigabit Patch Orange,StarTech.com,CB, 0,31.28,2.58,EA,LB,CBN,ACTIVE,065030839129
134915,C6PATCH100RD,Startech Cable C6PATCH100RD 100ft Cat6 Molded RJ45 UTP Gigabit Patch Red RTL,StarTech.com,CB, 0,31.41,2.58,EA,LB,CBN,ACTIVE,065030839136
134917,C6PATCH10PL,Startech Cable C6PATCH10PL 10ft Cat6 Molded RJ45 UTP Gigabit Patch Purple RTL,StarTech.com,CB, 0,6.22,0.37,EA,LB,CBN,ACTIVE,065030839006
134918,C6PATCH15OR,Startech Cable C6PATCH15OR 15ft Cat6 Molded RJ45 UTP Gigabit Patch Orange RTL,StarTech.com,CB, 0,6.39,0.44,EA,LB,CBN,ACTIVE,065030839013
134919,ST3300U3S,StarTech ST3300U3S USB3.0 to Gigabit Ethernet NIC Network Adapter 3PT WH RTL,StarTech.com,NT, 0,57.03,0.76,EA,LB,NTH,ACTIVE,065030849777
134920,C6PATCH15PL,Startech Cable C6PATCH15PL 15ft Cat6 Molded RJ45 UTP Gigabit Patch Purple RTL,StarTech.com,CB, 0,6.39,0.44,EA,LB,CBN,ACTIVE,065030839020
134921,C6PATCH20OR,Startech Cable C6PATCH20OR 20ft Cat6 Molded RJ45 UTP Gigabit Patch Orange RTL,StarTech.com,CB, 0,7.62,0.55,EA,LB,CBN,ACTIVE,065030839037
134922,C6PATCH20PL,Startech Cable C6PATCH20PL 20ft Cat6 Molded RJ45 UTP Gigabit Patch Purple RTL,StarTech.com,CB, 0,7.82,0.55,EA,LB,CBN,ACTIVE,065030839044
134923,C6PATCH25OR,Startech Cable C6PATCH25OR 25ft Cat6 Molded RJ45 UTP Gigabit Patch Orange RTL,StarTech.com,CB, 0,9.11,0.71,EA,LB,CBN,ACTIVE,065030839051
134925,C6PATCH25PL,Startech Cable C6PATCH25PL 25ft Cat6 Molded RJ45 UTP Gigabit Patch Purple RTL,StarTech.com,CB, 0,9.11,0.71,EA,LB,CBN,ACTIVE,065030839068
134927,C6PATCH35GN,Startech Cable C6PATCH35GN 35ft Cat6 Molded RJ45 UTP Gigabit Patch Green RTL,StarTech.com,CB, 0,12.77,1.01,EA,LB,CBN,ACTIVE,065030804684
134929,C6PATCH50OR,Startech Cable C6PATCH50OR 50ft Cat6 Molded RJ45 UTP Gigabit Patch Orange RTL,StarTech.com,CB, 0,16.91,1.37,EA,LB,CBN,ACTIVE,065030839099
134930,ISAS88883,StarTech ISAS88883 3m External Mini SAS Cable SCSI SFF-8088 to SFF-8088 RTL,StarTech.com,CB, 0,129.68,1.06,EA,LB,CBE,ACTIVE,065030849968
134931,HDMM3,StarTech Cable HDMM3 3ft High Speed HDMI to HDMI M M Black Retail,StarTech.com,CB, 0,8.70,0.17,EA,LB,CBE,ACTIVE,065030849845
134933,HDMM10,StarTech Cable HDMM10 10ft High Speed HDMI to HDMI M M Black Retail,StarTech.com,CB, 58,15.89,1.00,EA,LB,CBE,ACTIVE,065030849814
134934,ECUSB3S11,StarTech IO ECUSB3S11 1Port ExpressCard SuperSpeed USB 3.0 Card Adapter Retail,StarTech.com,IO, 0,30.80,0.23,EA,LB,IO,ACTIVE,065030849890
